"","Table 2: Fuel poor households by administrative area [Notes 3 and 4], 2022","...2","...3","...4","...5","...6","...7"
"196","E07000200",NA,NA,"Babergh","41107","4815","11.712999999999999"
"197","E07000244",NA,NA,"East Suffolk","113303","14154","12.492000000000001"
"198","E07000202",NA,NA,"Ipswich","60841","7434","12.218"
"199","E07000203",NA,NA,"Mid Suffolk","45275","4770","10.535"
"200","E07000245",NA,NA,"West Suffolk","80465","7990","9.9290000000000003"
"201","E12000007","LONDON",NA,NA,"3683167","383768","10.42"
"202","E13000001",NA,"Inner London",NA,"1517060","157187","10.36"
"203","E09000007",NA,NA,"Camden","100105","10299","10.288"
"204","E09000001",NA,NA,"City of London","5247","280","5.3360000000000003"
"205","E09000012",NA,NA,"Hackney","113917","12419","10.901"
"206","E09000013",NA,NA,"Hammersmith and Fulham","87606","8937","10.201000000000001"
"207","E09000014",NA,NA,"Haringey","112787","14983","13.284000000000001"
"208","E09000019",NA,NA,"Islington","103675","9426","9.0909999999999993"
"209","E09000020",NA,NA,"Kensington and Chelsea","73024","8427","11.54"
"210","E09000022",NA,NA,"Lambeth","144580","13779","9.5299999999999994"
"211","E09000023",NA,NA,"Lewisham","131597","14544","11.051"
"212","E09000025",NA,NA,"Newham","124755","18470","14.805"
"213","E09000028",NA,NA,"Southwark","140219","12468","8.891"
"214","E09000030",NA,NA,"Tower Hamlets","129518","10398","8.0280000000000005"
"215","E09000032",NA,NA,"Wandsworth","147602","12467","8.4459999999999997"
"216","E09000033",NA,NA,"Westminster","102428","10290","10.045999999999999"
"217","E13000002",NA,"Outer London",NA,"2166107","226581","10.46"
"218","E09000002",NA,NA,"Barking and Dagenham","79591","10692","13.433"
"219","E09000003",NA,NA,"Barnet","159884","15892","9.9390000000000001"
"220","E09000004",NA,NA,"Bexley","102581","9305","9.07"
"221","E09000005",NA,NA,"Brent","127459","15716","12.33"
"222","E09000006",NA,NA,"Bromley","146031","12894","8.8290000000000006"
"223","E09000008",NA,NA,"Croydon","164486","18506","11.25"
"224","E09000009",NA,NA,"Ealing","143541","15932","11.099"
"225","E09000010",NA,NA,"Enfield","129991","15320","11.785"
"226","E09000011",NA,NA,"Greenwich","122830","12250","9.9730000000000008"
"227","E09000015",NA,NA,"Harrow","96403","10277","10.66"
"228","E09000016",NA,NA,"Havering","108909","9584","8.8000000000000007"
